name,website,instagram_handle,country,category,price_range,description,tags,is_featured,enrichment_status,confidence_score,needs_review,review_reason,last_updated
Anavila,https://www.anavila.com,anavila_m,India,Fashion,mid,Contemporary Indian clothing with traditional crafts and handloom textiles for modern living,"handloom,ethnic,sustainable,cotton,artisanal,indian,contemporary",False,approved,0.95,false,,2026-03-03T14:31:38.412205
Bhaane,https://www.bhaane.com,bhaane,India,Fashion,mid,Contemporary Indian clothing with unique style and focus on quality fabrics,"handmade,cotton,minimalist,indian,contemporary,ethnical,premium",True,approved,0.85,false,,2026-03-03T14:31:39.613640
Lereve,https://lerevelife.com,lereve.Life,India,Fashion,mid,Discover effortlessly stylish chic tops & summer wear designed for ultimate comfort & confidence. Perfect for casual days or dressing up with ease.,"handloom,ethnic,sustainable,cotton,artisanal,indian,contemporary,summer,casual,effortless,style,chic",False,approved,0.8,false,,2026-03-03T14:31:40.232705
SilayiBazi,https://silayibazi.in,silayibazi,India,Fashion,mid,Contemporary Indian fashion with premium fabrics and seamless after-purchase experience.,"sustainable,cotton,premium,fashionable,contemporary,indian",False,approved,0.8,false,,2026-03-03T14:31:40.997192
Diamondlady,https://diamondlady.in,diamondlady.in,India,Fashion,mid,Contemporary clothing with traditional aesthetic and easy customization options,"contemporary,ethnic,sustainable,cotton,artisanal,indian,fashionable,easy exchange",False,approved,0.95,false,,2026-03-03T14:31:41.697482
Clofii,https://clofii.com,clofii_,India,Fashion,mid,Contemporary women's clothing with attention to detail and a modern aesthetic,"contemporary,sustainable,handmade,cotton,women's fashion",False,approved,0.85,false,,2026-03-03T14:31:42.367706
Evara,https://evara.me,evaraclothing_,India,Fashion,mid,Contemporary Indian clothing for modern living,"sustainable,cotton,ethnic,contemporary,minimalist,handmade",False,approved,0.85,false,,2026-03-03T14:31:43.113206
NEF'S finds,https://nefsfinds.com,nefsfinds,India,Fashion,mid,Contemporary Indian clothing with traditional crafts and handloom textiles for modern living,"handloom,ethnic,sustainable,cotton,artisanal,indian,contemporary",False,approved,0.95,false,,2026-03-03T14:31:43.647724
Blissclub,https://blissclub.com,myblissclub,India,Sportswear,mid,"Thoughtfully designed clothing for women and men - built for comfort, performance, and movement.","comfortable,performance,movement,women's,men's,indian,fashion,activewear,sweatpants,joggers",False,approved,0.95,false,,2026-03-03T14:31:44.626434
CAVA,https://cavaathleisure.com,cava_athleisure,India,Sportswear,mid,"Discover the latest athleisure trends with Cava. Our trendy range of clothing is perfect for a relaxing day out, and our stylish designs will have you experiencing your wardrobe in a whole new way.","athleisure,trendy,relaxing,dayout,stylish",True,approved,0.9,false,,2026-03-03T14:31:45.117335
House of Sal,https://houseofsal.com,houseofsal_,India,Fashion,mid,Contemporary Indian clothing with traditional crafts and handloom textiles for modern living,"handloom,ethnic,sustainable,cotton,artisanal,indian,contemporary",False,approved,0.95,false,,2026-03-03T14:31:45.534668
Crayy Heads,https://crayyheads.com,crayy.heads,India,Fashion,mid,Contemporary fashion brand offering stylish knitwear for men and women with a focus on comfort and quality.,"handloom,cotton,ethnic,sustainable,knits,fashion,contemporary",False,approved,0.85,false,,2026-03-03T14:31:47.382498
shop mauve,https://www.shopmauve.in,shopemauve.in,India,Fashion,premium,Luxury Indian fashion designer known for sustainable bridal wear and contemporary ethnic clothing,"luxury,sustainable,designer,ethnic,handcrafted,premium",False,approved,0.92,false,,2026-03-03T14:31:48.009225
Obleka,https://www.obleka.in,oblelka.in,India,Fashion,mid,"Comfort meets fashion, everyday made affordable","sustainable,comfortable,fashionable,cotton,affordable",False,approved,0.7,false,,2026-03-03T14:31:48.665700
LABEL CRIMSONMUSE,https://labelcrimsonmuse.com,label.crimsonmuse,India,Fashion,mid,"Unique, mindful production with specially customised prints, size-inclusive and conscious design.","sustainable,conscious,indian,customised,cotton,unique,minimalist",False,approved,0.8,false,,2026-03-03T14:31:49.258410
DIRIS,https://shopdiris.com,shopdiris,India,Fashion,mid,Contemporary Indian clothing with traditional craftsmanship and high-quality fabrics for modern living,"handwoven,indian,contemporary,sustainable,cotton,artisanal",False,approved,0.8,false,,2026-03-03T14:31:50.184845
Lazo Store,https://lazostore.in,lazostore.in,India,Fashion,mid,Contemporary Indian clothing with trendy and affordable designs,"indian,fashion,trendy,affordable,cotton",False,approved,0.85,false,,2026-03-03T14:31:50.784465
VIRGIO,https://www.virgio.com,virgio.official,India,Sustainable Fashion,mid,"Shop trendy, high-quality clothing that champions sustainability and ethical design","ecofriendly,crueltyfree,naturalrecycled,circularfashion,sustainable fashion,ethicaldesign",False,approved,0.92,false,,2026-03-03T14:31:52.634440
NABA,https://labelnaba.in,labelnaba,India,Fashion,mid,Contemporary Indian clothing with sustainable practices and high-quality denim,"handloom,sustainable,cotton,denim,contemporary,ecofriendly,artisanal,indian",False,approved,0.92,false,,2026-03-03T14:31:53.321250
ENDLESS SUMMER,https://labelnaba.in,endlesssummer.shop,India,Fashion,mid,Contemporary Indian fashion with sustainable practices and eco-friendly materials,"sustainable,eco-friendly,durable,cotton,fashionable,contemporary",False,approved,0.92,false,,2026-03-03T14:31:53.954895
The Label Jenn,https://www.thelabeljenn.com,thelabel.jenn,India,Fashion,premium,Luxury Indian fashion designer known for sustainable bridal wear and contemporary ethnic clothing,"luxury,bridal,sustainable,designer,ethnic,handcrafted,premium",False,approved,0.92,false,,2026-03-03T14:31:54.633571
Basata,https://www.basata.co.in,thebasata,India,Fashion,mid,Contemporary Indian clothing with traditional crafts and handloom textiles for modern living,"handloom,ethnic,sustainable,cotton,artisanal,indian,contemporary",False,approved,0.95,false,,2026-03-03T14:31:55.307400
Moonstruck,http://mymoonstruck.com,moonstruckbyss,India,Fashion,mid,Contemporary Indian fashion brand offering a wide range of party wear and designer dresses for women.,"indian,fashion,party wear,dresses,women",False,approved,0.92,false,,2026-03-03T14:31:56.055988
Summer away,https://summeraway.in,summeraway,India,Fashion,mid,"Ethical and sustainable clothing for endless summers ahead, prioritizing quality over quantity.","handmade,cotton,sustainable,minimalist,contemporary,artisanal",False,approved,0.85,false,,2026-03-03T14:31:56.818089
Tag The Label,https://tagthelabel.in,tagthelabel.in,India,Fashion,mid,Contemporary Indian fashion brand offering affordable and stylish clothing for women.,"sustainable,fashionable,indian,cotton,contemporary",False,approved,0.92,false,,2026-03-03T14:31:57.677562
Sajke,https://sajke.in,sajke.in,India,Fashion,mid,Luxury Indian fashion designer known for sustainable bridal wear and contemporary ethnic clothing,"sustainable,designer,ethnic,handcrafted,premium,bridal",False,approved,0.92,false,,2026-03-03T14:31:58.372281
Sage by mala,https://sagebymala.com,sagebymala,India,Fashion,premium,Luxury Indian fashion designer known for sustainable bridal wear and contemporary ethnic clothing,"luxury,sustainable,designer,ethnic,handcrafted,premium",True,approved,0.92,false,,2026-03-03T14:31:59.087655
Style Island,https://www.styleisland.com,styleislandofficial,India,Fashion,mid,"Contemporary women's fashion with trendy dresses, co-ord sets, tops and more. Empower your unique style.","contemporary,women's fashion,trendy,dresses,co-ords,tops,luxury,cotton,linen,accessories",False,approved,0.8,false,,2026-03-03T14:31:59.788468
ADAGIO,https://adagio.in,adagio.apparel,India,Fashion,mid,"Creating stories while fusing fashion, comfort and sustainability.","fashion,sustainable,femininity,sophistication,comfort",False,approved,0.95,false,,2026-03-03T14:32:00.451988
The Fancy Pastels,https://fancypastels.com,fancypastelsindia,India,Fashion,mid,Contemporary Indian fashion with hand block printing and unique prints,"handblockprinting,contemporary,indian,fashion,uniqueprints",False,approved,0.85,false,,2026-03-03T14:32:01.197289
House of Mae,https://www.houseofmae.shop,houseofmae.shop,India,Fashion,mid,"Contemporary Indian clothing with a curated edit of in-stock styles, ready to be shipped without waiting time.","handloom,ethnic,sustainable,cotton,artisanal,indian,contemporary",False,approved,0.85,false,,2026-03-03T14:32:01.926265
Blomas,https://blomas.in,blomas.shop,India,Fashion,mid,"Embracing femininity with ease, our apparel is perfect for those days spent exploring faraway cities, sunning at exotic beaches or enjoying a leisurely stroll through town. The pieces go from day to night, beach to bar, and US to YOU!","femininity,ease,apparel,exploring,faraway,cities,sunning,beaches,stroll,fashion,contemporary",True,approved,0.92,false,,2026-03-03T14:32:02.621742
Urban Suburban,https://urbansuburban.in,in.urbansuburban,India,Fashion,mid,Explore chic party wear western wear designed for standout style.,"western wear,party,wear,chic,fashion,style,elevate,event look,ethically sourced",False,approved,0.95,false,,2026-03-03T14:32:03.302878
